Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Potent Aversion to Frost	0x073f4e	Skyrim.esm		-1	-1	-1	-1	-1
Malign Aversion to Frost	0x073f4f	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Aversion to Frost	0x073f50	Skyrim.esm		-1	-1	-1	-1	-1
Weak Aversion to Magic	0x065a6e	Skyrim.esm		-1	-1	-1	-1	-1
Aversion to Magic	0x073f56	Skyrim.esm		-1	-1	-1	-1	-1
Potent Aversion to Magic	0x073f57	Skyrim.esm		-1	-1	-1	-1	-1
Malign Aversion to Magic	0x073f58	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Aversion to Magic	0x073f59	Skyrim.esm		-1	-1	-1	-1	-1
Weak Aversion to Shock	0x073f52	Skyrim.esm		-1	-1	-1	-1	-1
Aversion to Shock	0x065a6d	Skyrim.esm		-1	-1	-1	-1	-1
Potent Aversion to Shock	0x073f53	Skyrim.esm		-1	-1	-1	-1	-1
Malign Aversion to Shock	0x073f54	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Aversion to Shock	0x073f55	Skyrim.esm		-1	-1	-1	-1	-1
Weak Recovery Poison	0x073f90	Skyrim.esm		-1	-1	-1	-1	-1
Magicka Recovery Poison	0x073f91	Skyrim.esm		-1	-1	-1	-1	-1
Potent Recovery Poison	0x073f92	Skyrim.esm		-1	-1	-1	-1	-1
Malign Recovery Poison	0x073f93	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Recovery Poison	0x073f94	Skyrim.esm		-1	-1	-1	-1	-1
Weak Vigor Poison	0x073f8b	Skyrim.esm		-1	-1	-1	-1	-1
Vigor Poison	0x073f8c	Skyrim.esm		-1	-1	-1	-1	-1
Potent Vigor Poison	0x073f8d	Skyrim.esm		-1	-1	-1	-1	-1
Malign Vigor Poison	0x073f8e	Skyrim.esm		-1	-1	-1	-1	-1
Weak Lingering Poison	0x065a6f	Skyrim.esm		-1	-1	-1	-1	-1
Lingering Poison	0x073f35	Skyrim.esm		-1	-1	-1	-1	-1
Potent Lingering Poison	0x073f36	Skyrim.esm		-1	-1	-1	-1	-1
Malign Lingering Poison	0x073f37	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Lingering Poison	0x073f38	Skyrim.esm		-1	-1	-1	-1	-1
Lingering Magicka Poison	0x065a70	Skyrim.esm		-1	-1	-1	-1	-1
Enduring Magicka Poison	0x073f3d	Skyrim.esm		-1	-1	-1	-1	-1
Lasting Magicka Poison	0x073f3e	Skyrim.esm		-1	-1	-1	-1	-1
Persisting Magicka Poison	0x073f3f	Skyrim.esm		-1	-1	-1	-1	-1
Unceasing Magicka Poison	0x073f40	Skyrim.esm		-1	-1	-1	-1	-1
Lingering Stamina Poison	0x065a71	Skyrim.esm		-1	-1	-1	-1	-1
Enduring Stamina Poison	0x073f45	Skyrim.esm		-1	-1	-1	-1	-1
Lasting Stamina Poison	0x073f46	Skyrim.esm		-1	-1	-1	-1	-1
Persisting Stamina Poison	0x073f47	Skyrim.esm		-1	-1	-1	-1	-1
Unceasing Stamina Poison	0x073f48	Skyrim.esm		-1	-1	-1	-1	-1
Frostbite Venom	0x0e41b8	Skyrim.esm		-1	-1	-1	-1	-1
Ice Wraith Bane	0x0e2d3d	Skyrim.esm		-1	-1	-1	-1	-1
Lotus Extract	0x058cfb	Skyrim.esm		-1	-1	-1	-1	-1
Mystic Venom	0x0b9587	ccbgssse025-advdsgs.esm		-1	-1	-1	-1	-1
Nightshade Extract	0x0cd883	Skyrim.esm		-1	-1	-1	-1	-1
